email,label
Claim your free prize,1
Get rich quick scheme,1
Monthly report is ready,0
Dinner with friends tonight,0
Click here to win a car,1
Limited time offer only,1
Exclusive deal just for you,1
Exclusive deal just for you,1
You have been selected for a gift,1
Claim your free prize,1
Call mom after class,0
Let's schedule a call,0
You have been selected for a gift,1
Call mom after class,0
Earn money fast from home,1
Project meeting at 3 PM,0
Don't forget the team lunch,0
Project meeting at 3 PM,0
Monthly report is ready,0
Project meeting at 3 PM,0
Library book due next week,0
Act now to claim your reward,1
You have been selected for a gift,1
You have been selected for a gift,1
Get rich quick scheme,1
Dinner with friends tonight,0
Dinner with friends tonight,0
Plan your weekend trip,0
Earn money fast from home,1
Click here to win a car,1
"Congratulations, you won a trip",1
Dinner with friends tonight,0
Let's schedule a call,0
Plan your weekend trip,0
Let's schedule a call,0
Don't forget the team lunch,0
Claim your free prize,1
Submit your assignment tomorrow,0
Call mom after class,0
Library book due next week,0
Plan your weekend trip,0
Call mom after class,0
Earn money fast from home,1
Limited time offer only,1
Let's schedule a call,0
Monthly report is ready,0
Submit your assignment tomorrow,0
Dinner with friends tonight,0
"Congratulations, you won a trip",1
Project meeting at 3 PM,0
Click here to win a car,1
Submit your assignment tomorrow,0
Exclusive deal just for you,1
Library book due next week,0
Win a lottery now,1
Library book due next week,0
Let's schedule a call,0
Monthly report is ready,0
You have been selected for a gift,1
Plan your weekend trip,0
Exclusive deal just for you,1
Win a lottery now,1
Project meeting at 3 PM,0
Earn money fast from home,1
"Congratulations, you won a trip",1
Click here to win a car,1
Win a lottery now,1
Submit your assignment tomorrow,0
You have been selected for a gift,1
Exclusive deal just for you,1
Monthly report is ready,0
Plan your weekend trip,0
You have been selected for a gift,1
Call mom after class,0
Call mom after class,0
Monthly report is ready,0
Monthly report is ready,0
Win a lottery now,1
Click here to win a car,1
Exclusive deal just for you,1
You have been selected for a gift,1
Get rich quick scheme,1
Get rich quick scheme,1
Win a lottery now,1
Limited time offer only,1
Exclusive deal just for you,1
Plan your weekend trip,0
Dinner with friends tonight,0
Act now to claim your reward,1
You have been selected for a gift,1
Submit your assignment tomorrow,0
Earn money fast from home,1
Call mom after class,0
Click here to win a car,1
You have been selected for a gift,1
Act now to claim your reward,1
Limited time offer only,1
Claim your free prize,1
Monthly report is ready,0
Monthly report is ready,0
Project meeting at 3 PM,0
Submit your assignment tomorrow,0
Earn money fast from home,1
Project meeting at 3 PM,0
Claim your free prize,1
Get rich quick scheme,1
Library book due next week,0
Click here to win a car,1
Let's schedule a call,0
Submit your assignment tomorrow,0
Act now to claim your reward,1
Call mom after class,0
Win a lottery now,1
Act now to claim your reward,1
You have been selected for a gift,1
Win a lottery now,1
You have been selected for a gift,1
Call mom after class,0
Reminder: doctor's appointment,0
Monthly report is ready,0
Call mom after class,0
Let's schedule a call,0
You have been selected for a gift,1
Claim your free prize,1
Project meeting at 3 PM,0
Reminder: doctor's appointment,0
Dinner with friends tonight,0
Exclusive deal just for you,1
Monthly report is ready,0
Submit your assignment tomorrow,0
Don't forget the team lunch,0
Claim your free prize,1
You have been selected for a gift,1
Get rich quick scheme,1
Project meeting at 3 PM,0
Earn money fast from home,1
Reminder: doctor's appointment,0
Get rich quick scheme,1
Limited time offer only,1
Submit your assignment tomorrow,0
Library book due next week,0
Don't forget the team lunch,0
Get rich quick scheme,1
Exclusive deal just for you,1
Reminder: doctor's appointment,0
Reminder: doctor's appointment,0
Dinner with friends tonight,0
Limited time offer only,1
Reminder: doctor's appointment,0
"Congratulations, you won a trip",1
Earn money fast from home,1
Let's schedule a call,0
Click here to win a car,1
Project meeting at 3 PM,0
You have been selected for a gift,1
Claim your free prize,1
Claim your free prize,1
You have been selected for a gift,1
Exclusive deal just for you,1
Project meeting at 3 PM,0
Get rich quick scheme,1
Win a lottery now,1
Click here to win a car,1
Don't forget the team lunch,0
Act now to claim your reward,1
Dinner with friends tonight,0
Dinner with friends tonight,0
Call mom after class,0
Claim your free prize,1
Don't forget the team lunch,0
Project meeting at 3 PM,0
Project meeting at 3 PM,0
Claim your free prize,1
Dinner with friends tonight,0
Exclusive deal just for you,1
Earn money fast from home,1
"Congratulations, you won a trip",1
Let's schedule a call,0
Claim your free prize,1
Claim your free prize,1
Don't forget the team lunch,0
Exclusive deal just for you,1
Call mom after class,0
Limited time offer only,1
Dinner with friends tonight,0
Monthly report is ready,0
Monthly report is ready,0
Project meeting at 3 PM,0
Dinner with friends tonight,0
Let's schedule a call,0
Don't forget the team lunch,0
Claim your free prize,1
Limited time offer only,1
Act now to claim your reward,1
You have been selected for a gift,1
Exclusive deal just for you,1
Don't forget the team lunch,0
Plan your weekend trip,0
Don't forget the team lunch,0
Exclusive deal just for you,1
